127.0.0.1 - - [07/Jun/2020:18:57:49 -0400] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [07/Jun/2020:18:57:56 -0400] "GET /jupiter HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2020:18:57:56 -0400] "GET /jupiter/ HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [07/Jun/2020:18:59:02 -0400] "GET /jupiter/search?lat=37.38&lon=-122.08 HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:00:44 -0400] "POST /jupiter/history HTTP/1.1" 500 1396
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:03:02 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:04:55 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:06:04 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:06:08 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:07:22 -0400] "DELETE /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:07:29 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:09:41 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:09:43 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:09:48 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:09:51 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:10:05 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:10:09 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:12:49 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [07/Jun/2020:19:12:54 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 1826
